,ID,neighbor,n_ID,n_name,n_overall,n_age,n_position,n_club,n_league,n_eur_value,n_eur_release_clause
376,163264,,,,,,,,,,
377,161648,,,,,,,,,,
378,158625,,,,,,,,,,
379,153244,,,,,,,,,,
380,146954,,,,,,,,,,
381,142780,,,,,,,,,,
382,139997,,,,,,,,,,
383,121944,,,,,,,,,,
384,116494,,,,,,,,,,
385,110677,,,,,,,,,,
386,54050,,,,,,,,,,
387,53612,,,,,,,,,,
388,49370,,,,,,,,,,
389,49369,,,,,,,,,,
390,9676,,,,,,,,,,
391,223848,,,,,,,,,,
392,216393,,,,,,,,,,
393,215792,,,,,,,,,,
394,214997,,,,,,,,,,
395,213296,,,,,,,,,,
396,212831,,,,,,,,,,
397,212462,,,,,,,,,,
398,212194,,,,,,,,,,
399,211748,,,,,,,,,,
400,211320,,,,,,,,,,
401,210896,,,,,,,,,,
402,210617,,,,,,,,,,
403,210406,,,,,,,,,,
404,210243,,,,,,,,,,
405,210035,,,,,,,,,,
406,209297,,,,,,,,,,
407,208334,,,,,,,,,,
408,208333,,,,,,,,,,
409,208093,,,,,,,,,,
410,207993,,,,,,,,,,
411,207439,,,,,,,,,,
412,206585,,,,,,,,,,
413,206467,,,,,,,,,,
414,206413,,,,,,,,,,
415,206273,,,,,,,,,,
416,205976,,,,,,,,,,
417,205362,,,,,,,,,,
418,205192,,,,,,,,,,
419,204529,,,,,,,,,,
420,204082,,,,,,,,,,
421,203890,,,,,,,,,,
422,203888,,,,,,,,,,
423,203775,,,,,,,,,,
424,203486,,,,,,,,,,
425,203280,,,,,,,,,,
426,201510,,,,,,,,,,
427,201454,,,,,,,,,,
428,200647,,,,,,,,,,
429,200610,,,,,,,,,,
430,199914,,,,,,,,,,
431,199827,,,,,,,,,,
432,199434,,,,,,,,,,
433,199110,,,,,,,,,,
434,198950,,,,,,,,,,
435,198784,,,,,,,,,,
436,198118,,,,,,,,,,
437,196934,,,,,,,,,,
438,195861,,,,,,,,,,
439,194957,,,,,,,,,,
440,194879,,,,,,,,,,
441,194404,,,,,,,,,,
442,194229,,,,,,,,,,
443,193886,,,,,,,,,,
444,193361,,,,,,,,,,
445,193130,,,,,,,,,,
446,193116,,,,,,,,,,
447,193105,,,,,,,,,,
448,193061,,,,,,,,,,
449,192641,,,,,,,,,,
450,192492,,,,,,,,,,
451,192086,,,,,,,,,,
452,191687,,,,,,,,,,
453,190972,,,,,,,,,,
454,190815,,,,,,,,,,
455,190813,,,,,,,,,,
456,190717,,,,,,,,,,
457,190264,,,,,,,,,,
458,189574,,,,,,,,,,
459,189250,,,,,,,,,,
460,189156,,,,,,,,,,
461,188802,,,,,,,,,,
462,188253,,,,,,,,,,
463,187735,,,,,,,,,,
464,187688,,,,,,,,,,
465,187491,,,,,,,,,,
466,186146,,,,,,,,,,
467,185221,,,,,,,,,,
468,185132,,,,,,,,,,
469,184392,,,,,,,,,,
470,184190,,,,,,,,,,
471,184111,,,,,,,,,,
472,183909,,,,,,,,,,
473,182002,,,,,,,,,,
474,178416,,,,,,,,,,
475,178311,,,,,,,,,,
476,177644,,,,,,,,,,
477,177604,,,,,,,,,,
478,177458,,,,,,,,,,
479,176915,,,,,,,,,,
480,176733,,,,,,,,,,
481,176376,,,,,,,,,,
482,176104,,,,,,,,,,
483,175379,,,,,,,,,,
484,173909,,,,,,,,,,
485,173521,,,,,,,,,,
486,173432,,,,,,,,,,
487,173373,,,,,,,,,,
488,173221,,,,,,,,,,
489,173208,,,,,,,,,,
490,172522,,,,,,,,,,
491,170370,,,,,,,,,,
492,170368,,,,,,,,,,
493,169705,,,,,,,,,,
494,169195,,,,,,,,,,
495,168530,,,,,,,,,,
496,167553,,,,,,,,,,
497,167514,,,,,,,,,,
498,165536,,,,,,,,,,
499,165526,,,,,,,,,,
500,164859,,,,,,,,,,
501,164835,,,,,,,,,,
502,163155,,,,,,,,,,
503,162369,,,,,,,,,,
504,162329,,,,,,,,,,
505,158232,,,,,,,,,,
506,157960,,,,,,,,,,
507,156713,,,,,,,,,,
508,150516,,,,,,,,,,
509,146460,,,,,,,,,,
510,143587,,,,,,,,,,
511,140293,,,,,,,,,,
512,139968,,,,,,,,,,
513,139668,,,,,,,,,,
514,138449,,,,,,,,,,
515,138412,,,,,,,,,,
516,134744,,,,,,,,,,
517,124635,,,,,,,,,,
518,112316,,,,,,,,,,
519,111661,,,,,,,,,,
520,53914,,,,,,,,,,
521,50542,,,,,,,,,,
522,48717,,,,,,,,,,
523,21146,,,,,,,,,,
524,230977,,,,,,,,,,
525,230142,,,,,,,,,,
526,227476,,,,,,,,,,
527,225647,,,,,,,,,,
528,225018,,,,,,,,,,
529,224334,,,,,,,,,,
530,221660,,,,,,,,,,
531,221130,,,,,,,,,,
532,220440,,,,,,,,,,
533,218339,,,,,,,,,,
534,216150,,,,,,,,,,
535,215466,,,,,,,,,,
536,215259,,,,,,,,,,
537,215057,,,,,,,,,,
538,213345,,,,,,,,,,
539,213150,,,,,,,,,,
540,212886,,,,,,,,,,
541,212602,,,,,,,,,,
542,212523,,,,,,,,,,
543,212501,,,,,,,,,,
544,212150,,,,,,,,,,
545,211688,,,,,,,,,,
546,211381,,,,,,,,,,
547,211354,,,,,,,,,,
548,211256,,,,,,,,,,
549,210864,,,,,,,,,,
550,210514,,,,,,,,,,
551,210413,,,,,,,,,,
552,208777,,,,,,,,,,
553,208128,,,,,,,,,,
554,207948,,,,,,,,,,
555,207441,,,,,,,,,,
556,206511,,,,,,,,,,
557,206113,,,,,,,,,,
558,205988,,,,,,,,,,
559,205923,,,,,,,,,,
560,205678,,,,,,,,,,
561,205525,,,,,,,,,,
562,205407,,,,,,,,,,
563,205175,,,,,,,,,,
564,205069,,,,,,,,,,
565,204638,,,,,,,,,,
566,204523,,,,,,,,,,
567,204311,,,,,,,,,,
568,204024,,,,,,,,,,
569,203757,,,,,,,,,,
570,203574,,,,,,,,,,
571,202642,,,,,,,,,,
572,202556,,,,,,,,,,
573,201988,,,,,,,,,,
574,201956,,,,,,,,,,
575,201858,,,,,,,,,,
576,201533,,,,,,,,,,
577,201377,,,,,,,,,,
578,201305,,,,,,,,,,
579,201262,,,,,,,,,,
580,201118,,,,,,,,,,
581,201049,,,,,,,,,,
582,201046,,,,,,,,,,
583,201042,,,,,,,,,,
584,200641,,,,,,,,,,
585,200458,,,,,,,,,,
586,200454,,,,,,,,,,
587,199977,,,,,,,,,,
588,199952,,,,,,,,,,
589,199852,,,,,,,,,,
590,199602,,,,,,,,,,
591,199576,,,,,,,,,,
592,199561,,,,,,,,,,
593,199550,,,,,,,,,,
594,198683,,,,,,,,,,
595,198077,,,,,,,,,,
596,197948,,,,,,,,,,
597,195363,,,,,,,,,,
598,194911,,,,,,,,,,
599,194174,,,,,,,,,,
600,193887,,,,,,,,,,
601,193171,,,,,,,,,,
602,192679,,,,,,,,,,
603,192565,,,,,,,,,,
604,191210,,,,,,,,,,
605,190875,,,,,,,,,,
606,190778,,,,,,,,,,
607,190544,,,,,,,,,,
608,190286,,,,,,,,,,
609,190243,,,,,,,,,,
610,190223,,,,,,,,,,
611,189963,,,,,,,,,,
612,189575,,,,,,,,,,
613,189433,,,,,,,,,,
614,189271,,,,,,,,,,
615,189169,,,,,,,,,,
616,188955,,,,,,,,,,
617,188524,,,,,,,,,,
618,188428,,,,,,,,,,
619,187457,,,,,,,,,,
620,187347,,,,,,,,,,
621,187324,,,,,,,,,,
622,186307,,,,,,,,,,
623,186148,,,,,,,,,,
624,186132,,,,,,,,,,
625,185103,,,,,,,,,,
626,184949,,,,,,,,,,
627,184881,,,,,,,,,,
628,184477,,,,,,,,,,
629,184069,,,,,,,,,,
630,183899,,,,,,,,,,
631,183893,,,,,,,,,,
632,183855,,,,,,,,,,
633,183666,,,,,,,,,,
634,183108,,,,,,,,,,
635,181402,,,,,,,,,,
636,180334,,,,,,,,,,
637,178424,,,,,,,,,,
638,177723,,,,,,,,,,
639,177578,,,,,,,,,,
640,177519,,,,,,,,,,
641,177159,,,,,,,,,,
642,176993,,,,,,,,,,
643,176944,,,,,,,,,,
644,176731,,,,,,,,,,
